date,total_portfolio_value,total_return,black_swan_protection_value,black_swan_protection_return,crisis_alpha_hunter_value,crisis_alpha_hunter_return
2024-07-16,8762.193245785555,-12.378067542144455,6223.601325996242,-11.091409628625115,2538.591919789312,-15.380269340356257
2024-07-17,8893.668075650614,-11.063319243493863,6308.857641129915,-9.873462269572652,2584.8104345206993,-13.83965218264336
2024-07-18,8985.04312992981,-10.149568700701895,6361.865398280512,-9.116208595992692,2623.1777316492985,-12.560742278356718
2024-07-19,9106.23621305445,-8.937637869455505,6433.238745349132,-8.09658935215526,2672.997467705317,-10.900084409822774
2024-07-22,8870.082427096842,-11.299175729031575,6279.781008369202,-10.288842737582826,2590.3014187276403,-13.656619375745327
2024-07-23,8833.355074992713,-11.666449250072874,6255.601526883114,-10.634263901669794,2577.7535481095983,-14.074881729680055
2024-07-24,9380.708755572563,-6.192912444274368,6602.343927048909,-5.680801042158445,2778.364828523653,-7.387839049211564
2024-07-25,9395.09759112481,-6.049024088751898,6613.638407748439,-5.519451317879442,2781.459183376371,-7.284693887454297
2024-07-26,9199.59982568019,-8.004001743198097,6495.016119309921,-7.214055438429701,2704.583706370269,-9.847209787657707
2024-07-29,9147.702945176643,-8.522970548233566,6464.0362942121665,-7.656624368397624,2683.6666509644756,-10.544444967850819
2024-07-30,9315.970344563206,-6.840296554367942,6576.169885812943,-6.054715916957953,2739.8004587502624,-8.673318041657918
2024-07-31,9263.75307366683,-7.362469263331695,6552.770598603991,-6.388991448514414,2710.9824750628395,-9.633917497905353
2024-08-01,9714.087127494538,-2.859128725054616,6846.801674116987,-2.1885475126144693,2867.2854533775517,-4.423818220748277
2024-08-02,10946.26856480091,9.462685648009096,7658.097862046132,9.401398029230457,3288.170702754779,9.60569009182597
2024-08-05,13028.762256778984,30.28762256778983,8984.626871863391,28.351812455191293,4044.135384915593,34.804512830519776
2024-08-06,11676.271988069644,16.76271988069644,8117.736155616977,15.96765936595681,3558.535832452667,18.61786108175556
2024-08-07,11499.363699504709,14.9936369950471,8000.190198023198,14.288431400331403,3499.1735014815113,16.639116716050385
2024-08-08,11101.342580862554,11.013425808625543,7747.410087620336,10.677286966004784,3353.9324932422182,11.797749774740618
2024-08-09,10417.06828228602,4.170682822860194,7321.2952710934005,4.589932444191436,3095.7730111926194,3.1924337064206387
2024-08-12,10456.287124581384,4.562871245813849,7352.167954174554,5.030970773922205,3104.119170406829,3.470639013560972
2024-08-13,10089.603029078284,0.8960302907828455,7122.885746236438,1.7555106605205317,2966.717282841846,-1.1094239052718002
2024-08-14,9738.871941034035,-2.611280589659659,6899.6144028384715,-1.4340799594504072,2839.257538195562,-5.358082060147929
2024-08-15,9528.721240922896,-4.71278759077104,6758.916881401705,-3.444044551404213,2769.804359521192,-7.673188015960264
2024-08-16,9605.564473445447,-3.9443552655455294,6815.587394189246,-2.6344657972964813,2789.9770792562013,-7.000764024793293
2024-08-19,9510.309782848188,-4.896902171518125,6757.401647882993,-3.465690744528682,2752.908134965196,-8.236395501160132
2024-08-20,9749.003891617314,-2.5099610838268616,6918.1016280653075,-1.1699767419241835,2830.902263552006,-5.63659121493314
2024-08-21,9800.359950540813,-1.9964004945918767,6952.041209241841,-0.685125582259416,2848.318741298972,-5.056041956700941
2024-08-22,9952.784548110345,-0.47215451889655036,7041.4625531253205,0.5923221875045792,2911.321994985024,-2.955933500499197
2024-08-23,9715.915727276712,-2.840842727232884,6896.6306177761,-1.476705460341432,2819.2851095006117,-6.023829683312942
2024-08-26,9710.385999377351,-2.8961400062264886,6891.696558224794,-1.547192025360089,2818.6894411525564,-6.043685294914791
2024-08-27,9612.207988007107,-3.877920119928935,6828.190882902518,-2.454415958535461,2784.0171051045895,-7.1994298298470145
2024-08-28,9854.090238521194,-1.459097614788063,6981.850841759899,-0.2592736891443015,2872.2393967612957,-4.258686774623477
2024-08-29,9698.318725975236,-3.016812740247643,6879.534891940111,-1.7209301151412726,2818.783834035124,-6.04053886549586
2024-08-30,9511.282867589685,-4.887171324103146,6750.283093032056,-3.5673843852563447,2760.9997745576284,-7.966674181412392
2024-09-03,10479.967146069517,4.799671460695176,7385.736142334117,5.510516319058811,3094.231003735399,3.1410334578466426
2024-09-04,10647.215158941219,6.4721515894121895,7502.67515717505,7.1810736739292835,3144.5400017661686,4.818000058872296
2024-09-05,10448.347154527335,4.483471545273354,7380.870313737765,5.44100448196807,3067.476840789569,2.2492280263189723
2024-09-06,10819.373693246605,8.193736932466056,7617.79826676413,8.825689525201863,3201.5754264824755,6.719180882749187
2024-09-09,10492.073190166308,4.920731901663067,7410.982835214472,5.871183360206755,3081.0903549518357,2.703011831727853
2024-09-10,10450.12762206087,4.5012762206086965,7389.425262569333,5.563218036704765,3060.7023594915368,2.0234119830512265
2024-09-11,10215.545898582443,2.155458985824432,7237.25848211865,3.3894068874092964,2978.287416463792,-0.7237527845402658
2024-09-12,10208.621023145606,2.0862102314560538,7233.985124499495,3.3426446357070816,2974.635898646112,-0.8454700451296038
2024-09-13,10228.92872470645,2.2892872470644976,7251.01099973535,3.585871424790721,2977.917724971099,-0.7360758342967122
2024-09-16,10312.073693512293,3.1207369351229364,7311.211880724677,4.44588401035253,3000.861812787616,0.028727092920544095
2024-09-17,10381.388883083138,3.81388883083138,7351.190176793323,5.017002525618897,3030.198706289815,1.0066235429938342
2024-09-18,10272.320354110208,2.7232035411020927,7271.009716468512,3.8715673781215987,3001.3106376416963,0.04368792138986777
2024-09-19,10091.84655712942,0.9184655712942025,7156.296557426158,2.2328079632308206,2935.549999703262,-2.1483333432245955
2024-09-20,10097.993335936926,0.9799333593692561,7159.922706477615,2.2846100925373536,2938.0706294593106,-2.064312351356312
2024-09-23,10111.088260304028,1.1108826030402863,7167.140875919473,2.387726798849621,2943.947384384555,-1.8684205205148352
2024-09-24,10153.906595895804,1.5390659589580302,7198.415752147048,2.834510744957819,2955.4908437487557,-1.4836385417081432
2024-09-25,10186.465912410764,1.8646591241076482,7212.60568493891,3.037224070555844,2973.860227471854,-0.87132575093819
2024-09-26,10211.605782020963,2.116057820209627,7232.191789929687,3.3170255704241036,2979.4139920912758,-0.6862002636241371
2024-09-27,10440.953265635675,4.409532656356752,7382.102239550017,5.458603422143105,3058.8510260856574,1.9617008695219207
2024-09-30,10284.160665402229,2.8416066540222884,7275.627542166478,3.9375363166639588,3008.5331232357516,0.28443744119173164
2024-10-01,10732.891676453904,7.32891676453904,7570.739873250925,8.1534267607275,3162.1518032029803,5.405060106766002
2024-10-02,10635.351642562176,6.3535164256217636,7501.564764040442,7.165210914863462,3133.7868785217343,4.459562617391133
2024-10-03,10833.906280453311,8.339062804533114,7621.991641993498,8.885594885621394,3211.9146384598134,7.063821281993787
2024-10-04,10584.861306423247,5.848613064232477,7452.541621388436,6.464880305549081,3132.319685034811,4.410656167827032
2024-10-07,11001.964231133428,10.019642311334277,7713.984081643004,10.199772594900057,3287.980149490423,9.599338316347449
2024-10-08,10774.650410465129,7.746504104651275,7568.676228468713,8.123946120981618,3205.9741819964165,6.865806066547209
2024-10-09,10600.382199800553,6.003821998005532,7451.380420834175,6.448291726202515,3149.001778966378,4.966725965545926
2024-10-10,10671.625509588059,6.716255095880586,7495.866484400527,7.083806920007518,3175.759025187532,5.858634172917743
2024-10-11,10639.237051181773,6.392370511817735,7474.511108302922,6.778730118613185,3164.7259428788507,5.490864762628367
2024-10-14,10450.862130292182,4.5086213029218225,7353.61474595211,5.051639227887272,3097.247384340071,3.2415794780023655
2024-10-15,10674.520947675526,6.745209476755254,7505.464587314589,7.220922675922692,3169.056360360936,5.63521201203121
2024-10-16,10646.407747412875,6.46407747412876,7490.779683722407,7.011138338891532,3155.628063690468,5.187602123015611
2024-10-17,10532.527893322958,5.3252789332295825,7407.771108994382,5.825301557062601,3124.7567843285756,4.158559477619184
2024-10-18,10445.363450253006,4.453634502530068,7355.1540037349305,5.073628624784732,3090.2094465180758,3.0069815506025277
2024-10-21,10390.553357883438,3.905533578834386,7307.562513509339,4.393750192990553,3082.9908443740997,2.7663614791366475
2024-10-22,10408.203453947855,4.082034539478552,7321.425668004893,4.591795257212761,3086.777785942962,2.8925928647653976
2024-10-23,10620.659796810614,6.206597968106142,7452.586862817094,6.465526611672767,3168.0729339935215,5.60243113311738
2024-10-24,10577.744512399382,5.77744512399383,7431.830462078808,6.169006601125826,3145.9140503205745,4.863801677352475
2024-10-25,10816.01922473095,8.160192247309507,7580.103476630398,8.287192523291399,3235.915748100551,7.863858270018365
2024-10-28,10550.75282921516,5.507528292151598,7409.200363139528,5.845719473421829,3141.552466075632,4.718415535854392
2024-10-29,10570.183656180212,5.7018365618021205,7424.750739100709,6.067867701438701,3145.432917079503,4.847763902650093
2024-10-30,10715.716186255695,7.157161862556949,7521.304160369167,7.4472022909880975,3194.412025886528,6.4804008628842835
2024-10-31,11080.723335984625,10.807233359846258,7752.428137425468,10.748973391792394,3328.2951985591567,10.94317328530523
2024-11-01,10919.770448754758,9.197704487547576,7638.4135432543935,9.120193475062766,3281.356905500364,9.378563516678806
2024-11-04,10748.764435194142,7.487644351941425,7541.55995797315,7.736570828187861,3207.204477220993,6.906815907366437
2024-11-05,10497.461402106164,4.974614021061652,7386.116698140735,5.515952830581927,3111.344703965429,3.71149013218095
2024-11-06,9792.239927706389,-2.0776007229361126,6907.069141597603,-1.327583691462808,2885.1707861087843,-3.827640463040527
2024-11-07,9735.96873357578,-2.640312664242195,6883.149206126921,-1.6692970553296993,2852.8195274488608,-4.90601575170464
2024-11-08,9731.530164183123,-2.684698358168769,6885.572403931437,-1.6346799438366144,2845.957760251686,-5.134741324943793
2024-11-11,9634.704183608435,-3.6529581639156428,6814.809287362561,-2.6455816091062734,2819.8948962458735,-6.003503458470883
2024-11-12,9543.405171554585,-4.565948284454158,6744.5252817814035,-3.649638831694235,2798.8798897731817,-6.704003674227277
2024-11-13,9377.592282483442,-6.224077175165588,6629.2361850041,-5.296625928512865,2748.3560974793418,-8.388130084021938
2024-11-14,9385.262306474307,-6.14737693525692,6636.422134161915,-5.19396951197264,2748.840172312393,-8.371994256253569
2024-11-15,9697.69129921048,-3.0230870078951866,6835.98812285896,-2.343026816300564,2861.70317635152,-4.609894121615998
2024-11-18,9581.071479272892,-4.189285207271077,6766.640218489413,-3.333711164436959,2814.4312607834786,-6.185624640550714
2024-11-19,9788.136515203552,-2.1186348479644734,6904.59658171417,-1.3629059755118633,2883.5399334893827,-3.882002217020575
2024-11-20,9956.905773686625,-0.43094226313374895,7011.142520743697,0.15917886776710688,2945.763252942929,-1.8078915685690422
2024-11-21,9937.494258542229,-0.6250574145777121,6999.160260707145,-0.011996275612202734,2938.3339978350828,-2.055533405497245
2024-11-22,9793.817465312777,-2.061825346872226,6908.822173021323,-1.3025403854096784,2884.995292291454,-3.833490256951533
2024-11-25,9615.991537379326,-3.84008462620673,6806.41055715385,-2.765563469230714,2809.5809802254767,-6.347300659150779
2024-11-26,9557.767450882358,-4.422325491176416,6766.621299740391,-3.333981432280131,2791.1461511419675,-6.9617949619344195
2024-11-27,9563.883299245292,-4.361167007547085,6776.67862718378,-3.190305325945997,2787.204672061511,-7.093177597949641
2024-11-29,9534.673285427736,-4.653267145722639,6765.860479775048,-3.344850288927892,2768.812805652688,-7.706239811577065
2024-12-02,9481.721091027579,-5.182789089724215,6730.3829048138505,-3.8516727883735613,2751.3381862137285,-8.28872712620905
2024-12-03,9420.114797614066,-5.798852023859347,6685.80555435091,-4.48849208070129,2734.3092432631556,-8.856358557894817
2024-12-04,9499.423543986031,-5.005764560139692,6744.061949788615,-3.6562578601626483,2755.361594197416,-8.154613526752808
2024-12-05,9501.48133005867,-4.985186699413302,6746.226541097949,-3.625335127172158,2755.2547889607217,-8.158173701309279
2024-12-06,9424.896068153594,-5.751039318464068,6697.113697488299,-4.326947178738583,2727.782370665294,-9.073920977823535
2024-12-09,9525.082125710267,-4.749178742897331,6758.066956629567,-3.4561863338633203,2767.0151690807,-7.766161030643326
2024-12-10,9546.396227096646,-4.536037729033538,6770.985578515634,-3.2716345926337986,2775.410648581012,-7.4863117139662645
2024-12-11,9481.75686908963,-5.182431309103707,6724.647391112214,-3.93360869839694,2757.1094779774166,-8.09635073408611
2024-12-12,9436.311018813121,-5.636889811868784,6684.84099658114,-4.50227147741229,2751.4700222319807,-8.284332592267308
2024-12-13,9369.25008750043,-6.307499124995697,6633.2889178971645,-5.23872974432622,2735.9611696032653,-8.80129434655782
2024-12-16,9482.164840593667,-5.178351594063335,6708.619958243602,-4.1625720250914044,2773.544882350064,-7.548503921664529
2024-12-17,9579.341680226142,-4.206583197738578,6771.850781671572,-3.2592745475489737,2807.49089855457,-6.416970048181003
2024-12-18,10252.452731336947,2.5245273133694734,7192.271319134553,2.746733130493606,3060.1814122023934,2.0060470734131197
2024-12-19,10677.559718148015,6.775597181480153,7453.544942481123,6.479213464016054,3224.014775666893,7.467159188896444
2024-12-20,9951.881356227417,-0.48118643772583347,7000.317644011624,0.004537771594637086,2951.5637122157927,-1.6145429261402389
2024-12-23,9584.37185153201,-4.156281484679891,6757.733228875837,-3.4609538732023326,2826.6386226561726,-5.7787125781275765
2024-12-24,9349.991717651672,-6.500082823483277,6609.692212600554,-5.575825534277801,2740.2995050511176,-8.656683164962741
2024-12-26,9368.20977724562,-6.3179022275438035,6622.64194064882,-5.390829419302568,2745.567836596799,-8.481072113440025
2024-12-27,9542.925946698702,-4.570740533012973,6729.416030853437,-3.8654852735223177,2813.509915845266,-6.21633613849114
2024-12-30,9656.52204421906,-3.4347795578093976,6806.430999248987,-2.7652714393001876,2850.091044970073,-4.996965167664225
2024-12-31,9687.668406019056,-3.1233159398094346,6823.483053411198,-2.5216706655543097,2864.1853526078594,-4.527154913071351
